Municipality,F_ID,Lcode,X,Y,Font_size,Transform_Angle
Naumule,626,401,-0.02,0,0,0
Mahabu,624,402,-0.02,0,0,-30
Bhairabi,619,403,-0.04,-0.01,0,-50
Thantikandh,627,404,-0.04,0.02,0,-30
Aathbis,617,405,-0.05,0,0,-20
Chamunda,620,406,-0.02,0,0,-38
Dullu,621,407,0,0,0,0
Narayan,625,408,-0.02,-0.03,0,0
Bhagawatimai,618,409,-0.03,0,0,0
Dungeshwor,622,410,-0.04,0,0,0
Gurans,623,411,0,-0.01,0,10
Lalbandi,225,501,-0.02,0,0,0
Hariwan,221,502,-0.03,0.01,0,0
Bagmati,209,503,-0.015,0,0,0
Barahathawa,211,504,-0.04,0,0,0
Haripur,219,505,-0.01,0.01,0,0
Ishworpur,222,506,-0.05,-0.04,0,0
Haripurwa,220,507,-0.025,0.01,0,-70
Parsa,227,508,-0.01,0,0,0
Brahmapuri,214,509,-0.03,0.01,0,-50
Chandranagar,216,510,-0.04,0.007,-3,-47
Kabilashi,223,511,-0.03,0,0,-35
Chakraghatta,215,512,-0.025,0,-6,-30
Basbariya,212,513,-0.02,0.004,-2,10
Dhanakaul,217,514,-0.02,0,0,-23
Ramnagar,228,515,-0.02,0.009,0,-17
Balara,210,516,-0.02,0.02,0,0
Godaita,218,517,-0.02,0,0,-70
Bishnu,213,518,-0.018,0,0,-70
Kaudena,224,519,-0.02,0.02,-2,-30
Malangawa,226,520,-0.03,0.01,-2,-60