LCode,Municipality,District,Percentage of absentee population,Percentage of households that use firewood as fuel source,Percentage of households with Mud bonded bricks/ stone foundation,Percentage of households with Spout water*,Percentage of households with River /stream,Percentage of households with Kerosene lighting,Acute Gastro-Enteritis (AGE) Cases,Ameobic Dysentery/Amoebiasis Cases,Bacillary Dysentery/Shigellosis Cases,Cholera Cases,Hepatitis A Cases,Hepatitis E Cases,Intestinal Worms Cases,Jaundice Cases,Presumed Non-Infectious Diarrhoea Cases,Typhoid (Enteric Fever) Cases,Volume Depletion (Dehydration) Cases,Conjunctivitis Cases,Acute Encephalitis like Syndrome (AES) Cases,Dengue Fever Cases,Kala-Azar/Leshmaniasis Cases,Malaria (Plasmodium Vivax) Cases,Acute Flaccid Paralysis (AFP) Cases,Anaemia/Polyneuropathy Cases,Avitaminoses & Other Nutrient Deficiency Cases,Number of flood incidence,Number of landslide incidence,Number of hailstorm incidence,Number of windstorm incidence,Number of lightning incidence,Number of fire incidence,Number of household damaged by flood,Number of household damaged by landslide,Number of death by heat waves,Number of death by fire,Number of death by storms,Total
60601,Naumule Gaunpalika,Dailekh,0.06603251853,0.7529459569,0.7744323791,0,0,0.2544378698,0.2661079099,0.6597110754,0.312605042,0.0303030303,0.07692307692,0,0.33361558,0.2526690391,0.4131767109,0.2080713851,0.06912442396,0.2399090392,0,1,0,0,0,0.1126760563,0.01941747573,0.8,0.5333333333,0,0,0.1923076923,0.2,1,0.25,0,0.2,0,9.467799595
60602,Mahabu Gaunpalika,Dailekh,0.8382922243,0.7817960179,0.9624876604,0.1997883038,0.0780141844,0.1065088757,0.1004016064,0.6623863028,0.2851540616,0.1212121212,0.3846153846,0,0.4453852667,0.07117437722,0.1801838611,0.3675725005,0.1087557604,0.0827174531,1,0,0,0,0,0.05164319249,0.3859223301,1,0.7333333333,0,1,1,1,0.05,1,0,1,1,15.89734482
60603,Bhairabi Gaunpalika,Dailekh,1,0.6493295408,0.8706811451,0.6591690924,0.2836879433,0.124260355,0.07525755195,0.2739432852,0,0.03787878788,0,0,0.06689246401,0.01779359431,0,0.05049685662,0.2442396313,0,0,0,0,0,0,0.01408450704,0.1480582524,0.3,0,0,0,0.07692307692,0.05,0.05,0,0,0.2,0,5.192696084
60604,Thantikandh Gaunpalika,Dailekh,0.4224090256,0.931735067,1,0.229425774,1,0.5798816568,0.1471974856,0.5553772071,0.4806722689,0.2045454545,0.2307692308,0,0,0.1708185053,0.08416751788,0.1142770229,0.6322580645,0.08015918135,0,0,0,0,0,0.1431924883,0.004854368932,0.1,0.06666666667,0,0.3333333333,0.03846153846,0.05,0,0.015625,0,0.4,0.5,8.565826858
60605,Aathbis Municipality,Dailekh,0.3869041035,0.6798049573,0.9289239882,0.1299285525,0.8865248227,1,0.4304173215,1,1,0.3409090909,0.9230769231,0,0.7878916173,0.3060498221,0.2379979571,0,1,0.2328027288,0,0,0,0.1,0,1,0.1383495146,0.3,0.8,0,0,0,0,0.2,0.125,0,0,0,13.0345814
60606,Chamunda Bindrasaini Municipality,Dailekh,0.3100320761,0.7748882568,0.994076999,0.6120666843,0.219858156,0.8461538462,0.2455037541,0.9432851792,0.3781512605,0.04545454545,0,0,0.349703641,0,0.1174668029,0.1668018657,0.1695852535,0.2873791927,0,0,0,0,0,0.08450704225,0.02912621359,0.1,0.3333333333,0,0,0.1538461538,0,0,0.515625,0,0,0,7.826845257
60607,Dullu Municipality,Dailekh,0.9196991483,0.8212108899,0.8662388944,1,0.1134751773,0.2721893491,0.3268727082,0.5628678438,0.9725490196,1,1,0,1,1,1,1,0.1852534562,0.4738487777,0,0,0.05,1,1,0.2605633803,0.9830097087,0.1,1,0,0,0.07692307692,0.15,0.05,0.234375,1,0,0,20.46907643
60608,Narayan Municipality,Dailekh,0.565534786,0,0,0.3130457793,0.7730496454,0.2544378698,1,0.329588015,0.7943977591,0.09090909091,0.3846153846,1,0.8391193903,0.3701067616,0.9078651685,0.3338065301,0.03686635945,1,0,0,0.2,0.3,0,0.3333333333,1,0.4,0.4666666667,0,0,0.3461538462,0.15,0.15,0.15625,0,0,0,12.76241305
60609,Bhagawatimai Gaunpalika,Dailekh,0,1,0.8998025666,0.1079650701,0.02836879433,0.1952662722,0.1014492754,0.5730337079,0.3154061625,0.03787878788,0,0,0.4843353091,0.0462633452,0.4091930541,0.01906307037,0.2313364055,0.1486640136,0,0,0,0,0,0.004694835681,0.1529126214,0,0.7333333333,1,0,0.1153846154,0,0,0.609375,0,0,0,7.463726241
60610,Dungeshwor Gaunpalika,Dailekh,0.4366773587,0.7391304348,0.7329713722,0.4302725589,0.1914893617,0,0,0,0.1120448179,0,0,0,0.03725656224,0.01067615658,0.2871297242,0.3482052322,0,0.1014781126,0,0,1,0.1,0,0,0,0.3,0.2666666667,0,0,0.2692307692,0.1,0.15,0.359375,0,0.6,0,7.572604128
60611,Gurans Gaunpalika,Dailekh,0.1329498949,0.7659488013,0.9052319842,0.08917703096,0.390070922,0.2071005917,0.1423083639,0.3970037453,0.5176470588,0.03787878788,0.4615384615,0,0.2650296359,0.2704626335,0.1204290092,0.3724396674,0.02211981567,0.2174530984,0,0,0,0,0,0.09154929577,0.1990291262,0,0.6666666667,0,0,0.1153846154,0,0,0.09375,0,0,0,6.647835873