lcode,municipality
10105,Aatharai Tribeni
10101,Phaktanlung
10106,Phungling
10102,Mikwakhola
10103,Meringden
10104,Maiwakhola
10107,Pathivara Yangwarak
10109,Sidingba
10108,Sirijanga
10906,Kummayak
10907,Tumbewa
10903,Falelung
10905,Falgunanda
10904,Phidim
10908,Miklajung
10901,Yangbarak
10902,Hilihan
11003,Illam
11007,Chulachuli
11004,Deumai
11005,Fakfokathum
11008,Mai
11001,Mai Jogmai
11006,Mangsebung
11010,Rong
11002,Sandakpur
11009,Suryodaya
11103,Arjundhara
11115,Kachanakawal
11104,Kankai
11106,Kamal
11108,Gauradaha
11109,Gauriganj
11110,Jhapa
11107,Damak
11111,Barhadashi
11102,Buddhashanti
11114,Bhadrapur
11101,Mechinagar
11112,Birtamod
11105,Shivasatakshi
11113,Haldibari
10206,Khandabari
10204,Chichila
10208,Chainapur
10210,Dharmadevi
10207,Panchakhapan
10201,Bhotkhola
10202,Makalu
10209,Madi
10205,Sabhapokhari
10203,Silichong
10801,Aatharai
10806,Chhathar
10802,Phedap
10803,Menchhayayem
10804,Myanglung
10805,Laligurans
10605,Arun
10609,Aamchowk
10603,Temkemaiyum
10606,Pauwa Dunma
10604,Bhojpur
10607,Ramprasad Rai
10601,Shadananda
10602,Salpa Silichho
10608,Hatuwagadhi
10705,Shahidbhumi
10707,Chaubise
10703,Chhathar Jorpati
10704,Dhankuta
10702,Pakhribas
10701,Mahalaxmi
10706,Sangurigadhi
11208,Urlabari
11215,Katahari
11206,Kanepokhari
11203,Kerabari
11212,Gramthan
11217,Jahada
11216,Dhanapalthan
11207,Pathari Shanishchare
11213,Budhiganga
11205,Belbari
11201,Miklajung
11211,Rangeli
11209,Ratuwamai
11202,Letang
11214,Biratnagar
11210,Sunwarshi
11204,Sundarharaicha
11306,Itahari
11309,Inaruwa
11303,Koshi
11308,Gadhi
11307,Duhabi
11311,Dewangunj
11301,Dharan
11302,Barahachhetra
11312,Barju
11304,Bhokraha Narsingh
11305,Ramdhuni
11310,Harinagar
10301,Khumbu Pasanglhamu
10304,Mapya Dudhkoshi
10305,Thulung Dudhkoshi
10306,Necha Salyan
10302,Mahakulung
10308,Likhu Pike
10303,Sotang
10307,Solu Dhudhakunda
10502,Aiselukharka
10501,Kepilasgadhi
10508,Khotehang
10509,Jante Dhunga
10507,Diprung Chuichumma
10510,Baraha Pokhari
10505,Diktel Rupakot Majhuwagadhi
10503,Rawa Besi
10506,Sakela
10504,Halesi Tuwachung
10404,Khiji Demba
10406,Champadevi
10401,Chishankhu Gadhi
10408,Manebhanjyang
10403,Molung
10405,Likhu
10402,Siddhicharan
10407,Sunkoshi
11408,Udayapurgadhi
11407,Katari
11402,Chaudandigadhi
11406,Tapli
11403,Triyuga
11404,Rautamai
11401,Belaka
11405,Limchungbung
20103,Agnisair Krishna
20102,Kanchanrup
20106,Khadak
20118,Chhinnamasta
20110,Dakneshwori
20115,Tirahut
20117,Tilathi Koiladi
20111,Belhichepana
20109,Bode Barsain
20114,Mahadewa
20113,Rajbiraj
20104,Rupani
20108,Balan-Bihul
20112,Bishnupur
20105,Shambhunath
20101,Saptakoshi
20107,Surunga
20116,Hanumannagar Kankalini
20209,Arnama
20216,Aurahi
20206,Kalyanpur
20203,Golbazar
20202,Dhangadimai
20207,Naraha
20214,Nawarajpur
20215,Bariyarpatti
20213,Bhagawanpur
20204,Mirchaiya
20211,Laxmipur Patari
20201,Lahan
20208,Bishnupur
20212,Sakhuwanankarkatti
20217,Siraha
20210,Sukhipur
20205,Karjanha
20314,Aurahi
20311,Kamala
20305,Chhireshwornath
20301,Ganeshman Charnath
20312,Janak Nandini
20315,Janakpurdham
20302,Dhanushadham
20316,Dhanauji
20317,Nagarain
20304,Bateshwor
20303,Mithila
20307,Mithila Bihari
20318,Mukhiyapatti Musaharmiya
20306,Laxminiya
20313,Bideha
20310,Shahidnagar
20309,Sabaila
20308,Hanspur
20402,Gaushala
20415,Jaleshwor
20413,Pipara
20412,Mahottari
20409,Samsi
20403,Sonama
20411,Ekadara
20404,Aurahi
20401,Bardibas
20407,Balawa
20405,Bhagaha
20414,Matihani
20410,Manara Sisaba
20408,Ramgopalpur
20406,Loharpatti
20506,Ishworpur
20510,Chandranagar
20504,Barahathawa
20503,Bagmati
20520,Malangawa
20501,Lalbandi
20502,Hariban
20511,Kabilashi
20519,Kaudena
20517,Godaita
20512,Chakraghatta
20514,Dhankaul
20508,Parsa
20516,Balara
20513,Basbariya
20509,Brahmapuri
20515,Ramnagar
20518,Bishnu
20505,Haripur
20507,Haripurwa
20608,Garuda
20601,Chandrapur
20618,Ishanath
20604,Katahariya
20606,Gadhimai
20602,Gujara
20617,Gaur
20615,Durga Bhagawati
20609,Dewahi Gonahi
20612,Paroha
20603,Phatuwa Bijayapur
20611,Boudhimai
20607,Madhav Narayan
20610,Maulapur
20614,Yamunamai
20616,Rajdevi
20613,Rajpur
20605,Brindaban
20711,Aadarsha Kotwal
20709,Karaiyamai
20708,Kalaiya
20702,Kolhabi
20703,Jitpur Simara
20715,Devtal
20701,Nijagadh
20710,Baragadhi
20714,Mahagadhimai
20712,Simroungadh
20716,Subarna
20713,Pacharauta
20704,Parawanipur
20705,Prasauni
20707,Pheta
20706,Bishrampur
20812,Chipaharmai
20803,Jagarnathpur
20811,Dhobini
20813,Pakaha mainpur
20814,Bindabasini
20805,Sakhuwa Prasauni
20810,Kalikamai
20802,Jirabhawani
20801,Thori
20804,Partewa Sugauli
20806,Parsagadhi
20809,Pokhariya
20808,Badarmai
20807,Birgunj
30103,Kalinchowk
30101,Gaurishankar
30105,Jiri
30106,Tamakoshi
30109,Bhimeshwor
30107,Melung
30102,Bigu
30104,Baiteshwor
30108,Shailung
31001,Umakunda
31006,Khandadevi
31002,Gokulganga
31007,Doramba
31005,Manthali
31004,Ramechhap
31003,Likhu Tamakoshi
31008,Sunapati
31105,Kamalamai
31104,Golanjor
31107,Ghyanglekha
31103,Tinpatan
31101,Dudhouli
31102,Phikkal
31108,Marin
31106,Sunkoshi
31109,Hariharpurgadhi
30303,Uttargaya
30304,Kalika
30301,Gosaikunda
30305,Naukunda
30302,Aamachhodingmo
30402,Khaniyabas
30403,Ganga Jamuna
30410,Gajuri
30411,Galchhi
30407,Jwalamukhi
30404,Tripurasundari
30412,Thakre
30413,Dhunibenshi
30406,Nilkhantha
30405,Netrawati Dabjong
30409,Benighat Rorang
30401,Rubi Valley
30408,Siddhalek
30512,Kakani
30505,Kispang
30502,Tadi
30507,Tarakeshwor
30501,Dupcheshwor
30510,Panchakanya
30508,Belkotgadhi
30506,Myagang
30509,Likhu Tamakoshi
30504,Bidur
30511,Shivapuri
30503,Suryagadhi
30602,Kageshwori Manahara
30608,Kathmandu
30609,Kirtipur
30603,Gokarneshwor
30610,Chandragiri
30605,Tokha
30606,Tarakeshwor
30611,Dakshinkali
30607,Nagarjun
30604,Budhanilkhantha
30601,Shankharapur
30701,Changunarayan
30702,Bhaktapur
30703,Madhyapur Thimi
30704,Suryabinayak
30804,Konjyosom
30803,Godawari
30806,Bagmati
30805,Mahankal
30801,Mahalaxmi
30802,Lalitpur
30913,Khanikhola
30901,Chauri Deurali
30907,Temal
30905,Dhulikhel
30908,Namobuddha
30909,Panauti
30906,Panchkhal
30904,Banepa
30910,Bethanchowk
30902,Bhumlu
30903,Mandan
30912,Mahabharat
30911,Roshi
30207,Choutara Sangachowkgadhi
30202,Jugal
30208,Balephi
30203,Panchpokhari Thangpal
30210,Tripurasundari
30201,Bhotekoshi
30205,Melamchi
30206,Indrawoti
30211,Lisankhu Pakhar
30209,Bahrabise
30212,Sunkoshi
30204,Helambu
31201,Indrasarowar
31203,Kailash
31202,Thaha
31209,Bakaiya
31210,Bagmati
31207,Bhimphedi
31208,Makawanpurgadhi
31205,Manahari
31204,Raksirang
31206,Hetauda
31303,Ichchha Kamana
31302,Kalika
31306,Khairahani
31304,Bharatpur
31307,Madi
31305,Ratnanagar
31301,Rapti
40102,Ajirkot
40105,Aarughat
40111,Gandaki
40109,Gorkha
40101,Chumanubri
40104,Dharche
40108,Palungtar
40106,Bhimsenthapa
40110,Shahid Lakhan
40107,Siranchowk
40103,Barpak Sulikot
40203,Chame
40201,Narpa Bhumi
40204,Nason
40202,Manang Ngisyang
40603,Kwhola Sothar
40608,Dudhapokhari
40601,Dordi
40605,Bensi Shahar
40604,Madhya Nepal
40602,Marshyangdi
40607,Rainas
40606,Sundarbazar
40503,Annapurna
40504,Pokhara
40502,Machhapuchchhre
40501,Madi
40505,Rupa
40710,Aanbu Khaireni
40707,Rhishing
40706,Ghiring
40708,Devghat
40709,Bandipur
40701,Bhanu
40705,Bhimad
40703,Myagde
40702,Byas
40704,Shuklagandaki
40904,Arjun Choupari
40903,Aandhikhola
40911,Kaligandaki
40910,Galyang
40908,Chapakot
40901,Putalibazar
40902,Phedikhola
40905,Bhirkot
40909,Walling
40906,Biruwa
40907,Harinas
40806,Kawasoti
40801,Gaidakot
40805,Devchuli
40803,Baudikali
40802,Bulingtar
40807,Madhya Bindu
40808,Binayi Tribeni
40804,Hupsekot
40302,Gharpajhong
40305,Thasang
40301,Lo Ghekar Damodarkunda
40303,Varagung Muktichhetra
40304,Lomanthang
40401,Annapurna
40403,Dhawalagiri
40406,Beni
40405,Mangala
40404,Malika
40402,Raghuganga
41102,Kathekhola
41108,Galkot
41110,Jaimuni
41105,Dhorpatan
41104,Tamankhola
41103,Tarakhola
41106,Nisikhola
41101,Baglung
41107,Badigad
41109,Bareng
41003,Kushma
41002,Jaljala
41007,Paiyu
41004,Phalebas
41005,Mahashila
41001,Modi
41006,Bihadi
50405,Isma
50401,Kali Gandaki
50410,Gulmi Durbar
50403,Chandrakot
50411,Chhatrakot
50408,Dhurkot
50407,Madane
50406,Malika
50404,Musikot
50412,Ruruchhetra
50409,Resunga
50402,Satyawoti
50605,Tansen
50608,Tinau
50610,Nisdi
50602,Purbakhola
50604,Baganaskali
50609,Mathagadhi
50603,Rambha
50601,Rampur
50606,Ribdikot
50607,Rainadevi Chhahara
50501,Chhatradev
50505,Panini
50503,Bhumikasthan
50502,Malarani
50504,Sandhikharka
50506,Shitaganga
50707,Susta
50704,Palhinandan
50706,Pratapapur
50701,Bardaghat
50703,Ramgram
50705,Sarawal
50702,Sunawal
50809,Om Satiya
50804,Kanchan
50814,Kotahimai
50805,Gaidahawa
50808,Tilottama
50801,Devdaha
50802,Butwal
50816,Marchawari
50812,Mayadevi
50810,Rohini
50813,Lumbini Sanskritik
50806,Suddhodhan
50815,Sammarimai
50811,Siddharthanagar
50807,Siyari
50803,Sainamaina
50907,Kapilbastu
50905,Krishnanagar
50901,Banganga
50902,Buddhabhumi
50906,Maharajganj
50909,Mayadevi
50908,Yasodhara
50904,Bijayanagar
50903,Shivaraj
50910,Shuddhodhan
50101,Putha Uttanganga
50103,Bhoome
50102,Sisne
50206,Tribeni
50202,Thawang
50203,Pariwartan
50205,Madi
50208,Runtigadhi
50207,Rolpa
50210,Lungri
50204,Gangadev
50201,Sunchhahari
50209,Sunil Smriti
50308,Aairawati
50301,Gaumukhi
50303,Jhimaruk
50302,Naubahini
50304,Pyuthan
50307,Mallarani
50306,Mandavi
50309,Sarumarani
50305,Sworgadwari
51009,Gadhawa
51002,Ghorahi
51003,Tulsipur
51006,Dangisharan
51001,Bangalachuli
51005,Babai
51010,Rajpur
51008,Rapti
51007,Lamahi
51004,Shantinagar
51102,Kohalpur
51104,Khajura
51105,Janaki
51107,Duduwa
51108,Narainapur
51106,Nepalganj
51103,Baijanath
51101,Rapti Sonari
51207,Gulariya
51204,Geruwa
51203,Thakurbaba
51208,Badhaiyatal
51202,Barbardiya
51201,Bansgadhi
51206,Madhuwan
51205,Rajapur
60801,Aathabisakot
60806,Chaurjahari
60805,Tribeni
60803,Banphikot
60804,Musikot
60802,Sanibheri
60910,Kapurkot
60908,Kalimati
60902,Kumakh
60906,Chhatreshwori
60904,Siddha Kumakh
60909,Tribeni
60901,Darma
60903,Banagad Kupinde
60905,Bagachour
60907,Sharada
60107,Kaike
60108,Chharka Tangsong
60103,Jagadulla
60106,Thulibheri
60101,Dolpo Buddha
60105,Tripurasundari
60104,Mudkechula
60102,Shey Phoksundo
60204,Khatyad
60202,Chhayanath Rara
60201,Mugumakarmarog
60203,Soru
60402,Kanaka Sundari
60405,Guthichaur
60404,Chandannath
60406,Tatopani
60407,Tila
60401,Patarasi
60403,Sinja
60408,Hima
60509,Kalika
60506,Khandachakra
60507,Tilagupha
60505,Naraharinath
60502,Pachal Jharana
60501,Palata
60508,Mahawai
60503,Raskot
60504,Sanni Tribeni
60306,Adanchuli
60302,Kharpunath
60301,Chankheli
60307,Tanjakot
60304,Namkha
60305,Sarkegad
60303,Simkot
60702,Kushe
60704,Chhedagad
60703,Junichande
60707,Nalgad
60701,Barekot
60706,Bheri Malika
60705,Shivalaya
60605,Aathbis
60611,Gurans
60606,Chamunda Bindrasaini
60604,Thantikandh
60610,Dungeshwor
60607,Dullu
60608,Narayan
60601,Naumule
60609,Bhagawatimai
60603,Bhairabi
60602,Mahabu
61004,Gurbhakot
61002,Chingad
61009,Chaukune
61008,Panchapuri
61007,Barahatal
61006,Birendranagar
61005,Bheriganga
61003,Lekabeshi
61001,Simta
70102,Gaumul
70107,Khaptad Chhededaha
70109,Tribeni
70105,Jagannath
70106,Badimalika
70108,Budhiganga
70103,Budhinanda
70104,Swamikartik Khapar
70101,Himali
70708,Kamal bazar
70705,Chaurpati
70709,Dhakari
70710,Turmakhand
70701,Panchdebal Binayak
70707,Bannigadhi Jayagadh
70706,Mangalsen
70703,Mellekh
70702,Ramaroshan
70704,Sanphebagar
70201,Saipal
70209,Kedarsyun
70212,Khaptad Chhanna
70207,Chhabis Pathibhara
70206,Jayaprithbi
70204,Talkot
70211,Thalara
70208,Durgathali
70202,Bungal
70205,Masta
70210,Bitthadchir
70203,Surma
70603,Aadarsha
70606,K.I. Singh
70609,Jorayal
70605,Dipayal Silgadhi
70601,Purbichauki
70608,Badi Kedar
70607,Bogatan Chuha
70604,Shikhar
70602,Sayal
70812,Kailari
70803,Godawari
70804,Gauriganga
70805,Ghodaghodi
70802,Chure
70808,Janaki
70809,Joshipur
70810,Tikapur
70813,Dhangadhi
70806,Bardagoriya
70811,Bhajani
70801,Mohanyal
70807,Lamki Chuha
70305,Apihimal
70302,Duhun
70304,Naugad
70301,Byas
70303,Mahakali
70306,Marma
70308,Malikarjun
70309,Lekam
70307,Shailyashikhar
70401,Dilasaini
70405,Dasharathchand
70402,Dogada Kedar
70406,Pancheshwor
70409,Patan
70403,Puchaundi
70408,Melauli
70407,Shivanath
70410,Sigas
70404,Surnaya
70503,Ajayameru
70502,Amargadhi
70506,Aalital
70507,Ganyapdhura
70501,Nawadurga
70505,Parashuram
70504,Bhageshwor
70901,Krishnapur
70907,Punarbas
70909,Beldandi
70908,Belouri
70904,Bhimdatta
70905,Mahakali
70906,Laljhadi
70903,Bedkot
70902,Shuklaphanta